"TransactionID","SourceFile","DerivativePath","CsvRow","RecordIdentity","FieldName","ExpectedCurrentValue","ObservedCurrentValue","ProposedValue","FileExists","RowNumberValid","TargetRecordFound","FieldExists","CurrentValueMatches","ProposedValueValid","ValidationStatus","ValidationMessage","ValidatedAt"
"BATCH-A-TXN-FAEECD281B201B10","DEPENDENCY_CHAINS.csv",".\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Stage_4_Synchronization\Workspace\DEPENDENCY_CHAINS.csv","2","MS-T2-CHAIN-001","TerminalObjectID","","","MS-T2-TERMINAL-5AA79FE63A95","False","False","False","False","False","False","FAILED","Derivative target file is missing: .\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Stage_4_Synchronization\Workspace\DEPENDENCY_CHAINS.csv","2026-07-23T19:02:20.4179391-05:00"
"BATCH-A-TXN-279D3A07943C307C","DOWNSTREAM_ASSESSMENTS.csv",".\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Stage_4_Synchronization\Workspace\DOWNSTREAM_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","AssessmentID","","","MS-T2-ASSESS-BDF663A086A2","False","False","False","False","False","False","FAILED","Derivative target file is missing: .\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Stage_4_Synchronization\Workspace\DOWNSTREAM_ASSESSMENTS.csv","2026-07-23T19:02:20.4189402-05:00"
"BATCH-A-TXN-57E5D219A51E5C5B","DOWNSTREAM_ASSESSMENTS.csv",".\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Stage_4_Synchronization\Workspace\DOWNSTREAM_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","AssessorID","","","MS-T2-ASSR-EBDB3CFA3C9D","False","False","False","False","False","False","FAILED","Derivative target file is missing: .\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Stage_4_Synchronization\Workspace\DOWNSTREAM_ASSESSMENTS.csv","2026-07-23T19:02:20.4198163-05:00"
"BATCH-A-TXN-A7315BBB3AF20166","DOWNSTREAM_ASSESSMENTS.csv",".\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Stage_4_Synchronization\Workspace\DOWNSTREAM_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","CaseID","","","MS-T2-CASE-4952BF41CB1F","False","False","False","False","False","False","FAILED","Derivative target file is missing: .\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Stage_4_Synchronization\Workspace\DOWNSTREAM_ASSESSMENTS.csv","2026-07-23T19:02:20.4198163-05:00"
"BATCH-A-TXN-9E5171F7CDCC79EF","DOWNSTREAM_ASSESSMENTS.csv",".\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Stage_4_Synchronization\Workspace\DOWNSTREAM_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","ObjectID","","","MS-T2-OBJ-B645708C03C4","False","False","False","False","False","False","FAILED","Derivative target file is missing: .\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Stage_4_Synchronization\Workspace\DOWNSTREAM_ASSESSMENTS.csv","2026-07-23T19:02:20.4198163-05:00"
"BATCH-A-TXN-18CDCA3BFC243E9F","PROPAGATION_EVENTS.csv",".\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Stage_4_Synchronization\Workspace\PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","CaseID","","","MS-T2-CASE-7E8441865168","False","False","False","False","False","False","FAILED","Derivative target file is missing: .\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Stage_4_Synchronization\Workspace\PROPAGATION_EVENTS.csv","2026-07-23T19:02:20.4198163-05:00"
"BATCH-A-TXN-815279EFB2BC7C5A","PROPAGATION_EVENTS.csv",".\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Stage_4_Synchronization\Workspace\PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","DependencyEdgeID","","","MS-T2-EDGE-6AD7951D3A0D","False","False","False","False","False","False","FAILED","Derivative target file is missing: .\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Stage_4_Synchronization\Workspace\PROPAGATION_EVENTS.csv","2026-07-23T19:02:20.4198163-05:00"
"BATCH-A-TXN-57D0B5B63F61F644","PROPAGATION_EVENTS.csv",".\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Stage_4_Synchronization\Workspace\PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","EventID","","","MS-T2-EVENT-F7F1C3AF3D06","False","False","False","False","False","False","FAILED","Derivative target file is missing: .\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Stage_4_Synchronization\Workspace\PROPAGATION_EVENTS.csv","2026-07-23T19:02:20.4261979-05:00"
"BATCH-A-TXN-F9866AB04A6F7D6B","PROPAGATION_EVENTS.csv",".\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Stage_4_Synchronization\Workspace\PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","SourceObjectID","","","MS-T2-SOURCE-A5AF13FA503B","False","False","False","False","False","False","FAILED","Derivative target file is missing: .\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Stage_4_Synchronization\Workspace\PROPAGATION_EVENTS.csv","2026-07-23T19:02:20.4261979-05:00"
"BATCH-A-TXN-5208A347A591963B","PROPAGATION_EVENTS.csv",".\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Stage_4_Synchronization\Workspace\PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","TargetObjectID","","","MS-T2-TARGET-AC3A22C40CC5","False","False","False","False","False","False","FAILED","Derivative target file is missing: .\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Stage_4_Synchronization\Workspace\PROPAGATION_EVENTS.csv","2026-07-23T19:02:20.4261979-05:00"
"BATCH-A-TXN-903E6C89ED5C12B6","TRIAL_CASES.csv",".\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Stage_4_Synchronization\Workspace\TRIAL_CASES.csv","2","MS-T2-CASE-001-A","SeedObjectID","","","MS-T2-SEED-2630D5504D12","False","False","False","False","False","False","FAILED","Derivative target file is missing: .\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Stage_4_Synchronization\Workspace\TRIAL_CASES.csv","2026-07-23T19:02:20.4261979-05:00"
"BATCH-A-TXN-78F6A83AD9ACA53C","TRIAL_CASES.csv",".\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Stage_4_Synchronization\Workspace\TRIAL_CASES.csv","3","MS-T2-CASE-001-B","SeedObjectID","","","MS-T2-SEED-855A17818850","False","False","False","False","False","False","FAILED","Derivative target file is missing: .\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Stage_4_Synchronization\Workspace\TRIAL_CASES.csv","2026-07-23T19:02:20.4261979-05:00"
